20000	56568
0	1	325
0	6353	152
0	6309	450
1	0	325
2	3	661
2	4	177
2	7	85
3	2	661
3	309	894
4	273	76
4	2	177
4	274	630
4	388	349
5	6	828
5	8	149
5	9	510
6	305	825
6	5	828
6	309	122
6	310	178
7	16	556
7	2	85
7	8	717
7	3998	94
8	5	149
8	7	717
9	10464	584
9	5	510
9	12	347
10	22	722
10	11	594
10	77	759
11	10	594
11	44	658
12	9	347
12	13	605
12	14	467
13	12	605
14	20	960
14	12	467
14	15	483
15	310	116
15	312	49
15	14	483
16	17	716
16	18	590
16	7	556
17	16	716
18	16	590
18	24	485
18	266	137
19	20	673
19	21	548
19	23	677
19	25	453
20	19	673
20	24	442
20	312	601
20	14	960
21	19	548
22	69	141
22	10	722
22	58	207
22	44	811
23	19	677
23	38	648
23	24	85
24	18	485
24	20	442
24	23	85
24	303	756
25	19	453
25	26	653
25	29	840
26	37	165
26	312	748
26	25	653
27	28	918
27	29	997
27	30	75
28	27	918
29	25	840
29	314	360
29	27	997
30	32	425
30	27	75
30	31	130
31	30	130
32	33	707
32	34	441
32	30	425
33	32	707
34	32	441
34	35	528
34	36	826
35	34	528
36	34	826
36	37	451
36	40	379
36	313	348
37	36	451
37	313	164
37	26	165
38	52	707
38	23	648
38	39	559
39	38	559
39	4027	976
39	317	143
39	303	892
40	67	81
40	36	379
40	45	937
41	57	270
41	42	41
41	43	267
42	279	259
42	41	41
42	8841	125
43	41	267
44	51	622
44	22	811
44	11	658
44	45	111
45	275	691
45	279	192
45	40	937
45	44	111
46	56	309
46	59	483
46	47	957
47	55	200
47	60	301
47	46	957
48	49	359
48	277	457
48	54	550
48	63	211
49	48	359
49	55	785
50	51	504
50	58	119
50	61	689
51	50	504
51	44	622
52	132	595
52	53	978
52	38	707
52	71	916
53	52	978
53	277	718
53	278	111
53	279	308
54	48	550
54	55	575
54	60	941
54	62	223
55	49	785
55	54	575
55	47	200
56	65	778
56	57	669
56	46	309
57	64	504
57	56	669
57	41	270
57	75	224
58	50	119
58	22	207
58	70	499
59	65	156
59	68	598
59	60	777
59	46	483
60	54	941
60	59	777
60	47	301
61	81	783
61	50	689
61	70	64
62	68	335
62	54	223
62	63	198
63	48	211
63	62	198
64	80	326
64	66	694
64	57	504
65	56	778
65	59	156
65	75	615
65	78	11
66	64	694
66	86	307
66	73	186
67	40	81
68	59	598
68	62	335
68	78	377
69	83	400
69	22	141
69	70	468
69	76	313
70	69	468
70	58	499
70	61	64
70	93	1000
71	52	916
71	72	713
71	319	315
72	71	713
72	317	725
72	318	628
73	66	186
73	74	717
73	79	779
74	73	717
75	80	713
75	65	615
75	82	909
75	57	224
76	69	313
76	198	588
76	88	101
76	77	724
77	197	943
77	10	759
77	76	724
78	65	11
78	82	6
78	68	377
79	81	238
79	73	779
79	89	505
80	64	326
80	86	267
80	87	835
80	75	713
81	61	783
81	93	763
81	79	238
81	95	760
82	87	332
82	106	13
82	75	909
82	78	6
83	69	400
83	88	130
83	92	639
84	352	246
84	85	279
84	9833	148
85	84	279
85	853	199
85	895	522
86	80	267
86	66	307
86	89	243
86	94	712
87	80	835
87	82	332
87	99	230
87	94	198
88	96	169
88	83	130
88	387	129
88	76	101
89	97	475
89	86	243
89	79	505
89	95	960
90	400	526
90	1520	895
90	297	330
90	1642	853
90	91	8
91	295	382
91	297	563
91	345	734
91	90	8
92	96	265
92	98	714
92	83	639
92	93	456
93	81	763
93	70	1000
93	92	456
94	97	887
94	86	712
94	87	198
94	108	21
95	81	760
95	101	50
95	102	60
95	89	960
96	103	111
96	88	169
96	104	598
96	92	265
97	102	594
97	89	475
97	107	901
97	94	887
98	101	166
98	104	141
98	92	714
99	100	933
99	3558	572
99	87	230
99	105	647
100	99	933
100	108	974
100	109	692
101	112	163
101	98	166
101	2339	277
101	95	50
102	97	594
102	113	606
102	95	60
102	111	109
103	96	111
103	115	307
103	124	82
104	96	598
104	98	141
104	115	868
104	120	828
105	99	647
105	9062	13
105	106	151
106	82	13
106	105	151
107	97	901
107	113	542
107	346	122
107	108	73
108	100	974
108	107	73
108	94	21
108	110	473
109	100	692
109	118	637
109	110	782
110	346	20
110	108	473
110	109	782
111	112	883
111	102	109
111	119	147
111	122	134
112	2339	89
112	101	163
112	111	883
113	114	274
113	102	606
113	121	742
113	107	542
114	113	274
115	128	964
115	103	307
115	104	868
115	120	573
115	123	59
116	117	328
116	133	689
116	118	302
117	116	328
117	9062	318
118	116	302
118	109	637
119	120	837
119	125	742
119	111	147
120	115	573
120	2339	712
120	119	837
120	104	828
121	113	742
121	122	196
121	126	921
122	121	196
122	125	982
122	111	134
122	127	113
123	115	59
123	136	907
123	124	451
124	103	82
124	123	451
124	347	934
125	128	310
125	129	101
125	119	742
125	122	982
126	130	838
126	121	921
126	127	766
127	129	714
127	134	477
127	122	113
127	126	766
128	115	964
128	138	259
128	125	310
129	137	243
129	125	101
129	127	714
130	131	409
130	134	257
130	126	838
131	130	409
132	52	595
132	151	770
132	152	318
133	116	689
134	130	257
134	137	441
134	142	529
134	127	477
135	8946	184
135	136	649
135	284	761
136	135	649
136	123	907
136	347	548
137	129	243
137	145	304
137	134	441
137	138	77
138	128	259
138	144	827
138	8855	791
138	137	77
139	2342	802
139	140	28
139	8862	879
140	8855	914
140	139	28
141	325	562
141	142	875
141	143	282
142	145	830
142	134	529
142	141	875
143	144	811
143	145	524
143	141	282
144	177	139
144	138	827
144	8862	767
144	143	811
145	137	304
145	142	830
145	143	524
146	147	733
146	148	887
146	149	578
147	146	733
147	148	541
147	150	530
147	412	431
148	146	887
148	147	541
148	324	747
148	278	249
149	161	112
149	146	578
149	150	707
150	147	530
150	149	707
150	406	551
150	411	256
151	132	770
151	153	684
151	156	618
152	132	318
152	153	607
152	154	666
153	8945	495
153	151	684
153	152	607
153	154	186
154	152	666
154	153	186
155	166	715
155	156	402
155	157	950
156	4323	760
156	278	401
156	151	618
156	155	402
157	162	680
157	170	65
157	155	950
158	160	930
158	280	700
158	159	924
159	280	15
159	282	887
159	158	924
160	158	930
161	149	112
161	328	436
161	175	83
162	157	680
163	164	114
163	180	607
163	165	694
164	163	114
164	180	943
164	327	123
165	163	694
165	166	44
165	171	37
166	165	44
166	155	715
166	332	247
167	168	225
167	169	447
167	172	317
168	167	225
168	281	332
168	286	350
169	167	447
170	4137	48
170	171	568
170	157	65
171	165	37
171	170	568
171	4139	582
172	176	773
172	292	590
172	167	317
173	176	600
173	174	185
173	175	110
174	173	185
175	161	83
175	178	644
175	173	110
176	178	352
176	172	773
176	173	600
177	144	139
178	176	352
178	181	564
178	175	644
179	180	854
179	184	169
179	185	995
180	163	607
180	179	854
180	164	943
181	178	564
181	182	381
181	183	608
182	181	381
183	291	558
183	181	608
183	185	63
184	179	169
185	179	995
185	183	63
185	186	195
186	185	195
186	187	20
186	188	277
187	336	592
187	186	20
187	333	699
188	289	246
188	194	226
188	186	277
189	193	379
189	190	952
189	191	415
190	5297	213
190	189	952
190	5294	971
191	4454	189
191	4444	215
191	189	415
192	193	212
192	196	948
192	10687	572
193	192	212
193	189	379
193	9967	187
194	195	648
194	361	361
194	188	226
195	194	648
195	338	763
195	196	750
196	192	948
196	10400	597
196	195	750
197	387	972
197	198	248
197	77	943
198	197	248
198	76	588
