50000	147082
0	1	790
0	6353	353
0	6309	115
1	0	790
2	3	202
2	4	782
2	7	157
3	2	202
3	309	687
4	273	417
4	2	782
4	274	766
4	388	551
5	6	599
5	8	361
5	9	265
6	305	670
6	5	599
6	309	199
6	310	293
7	16	902
7	2	157
7	8	241
7	3998	638
8	5	361
8	7	241
9	10464	645
9	5	265
9	12	386
10	22	445
10	11	800
10	77	220
11	10	800
11	44	33
12	9	386
12	13	61
12	14	686
13	12	61
14	20	141
14	12	686
14	15	766
15	310	950
15	312	262
15	14	766
16	17	497
16	18	212
16	7	902
17	16	497
18	16	212
18	24	321
18	266	189
19	20	849
19	21	881
19	23	503
19	25	367
20	19	849
20	24	366
20	312	389
20	14	141
21	19	881
22	69	156
22	10	445
22	58	960
22	44	386
23	19	503
23	38	337
23	24	918
24	18	321
24	20	366
24	23	918
24	303	390
25	19	367
25	26	625
25	29	784
26	37	543
26	312	829
26	25	625
27	28	84
27	29	213
27	30	424
28	27	84
29	25	784
29	314	878
29	27	213
30	32	949
30	27	424
30	31	498
31	30	498
32	33	301
32	34	438
32	30	949
33	32	301
34	32	438
34	35	423
34	36	672
35	34	423
36	34	672
36	37	585
36	40	265
36	313	476
37	36	585
37	313	229
37	26	543
38	52	434
38	23	337
38	39	357
39	38	357
39	4027	967
39	317	283
39	303	214
40	67	73
40	36	265
40	45	447
41	57	143
41	42	423
41	43	888
42	279	227
42	41	423
42	8841	789
43	41	888
44	51	521
44	22	386
44	11	33
44	45	737
45	275	967
45	279	263
45	40	447
45	44	737
46	56	349
46	59	218
46	47	135
47	55	250
47	60	981
47	46	135
48	49	304
48	277	165
48	54	930
48	63	942
49	48	304
49	55	805
50	51	42
50	58	789
50	61	657
51	50	42
51	44	521
52	132	550
52	53	335
52	38	434
52	71	189
53	52	335
53	277	928
53	278	152
53	279	435
54	48	930
54	55	387
54	60	971
54	62	255
55	49	805
55	54	387
55	47	250
56	65	823
56	57	170
56	46	349
57	64	282
57	56	170
57	41	143
57	75	357
58	50	789
58	22	960
58	70	770
59	65	429
59	68	162
59	60	686
59	46	218
60	54	971
60	59	686
60	47	981
61	81	739
61	50	657
61	70	802
62	68	262
62	54	255
62	63	81
63	48	942
63	62	81
64	80	136
64	66	984
64	57	282
65	56	823
65	59	429
65	75	915
65	78	532
66	64	984
66	86	784
66	73	437
67	40	73
