100	339
Node	Dis	Prev
0	100000	-1
1	10000	2
2	0	2
3	10000	2
4	141	2
5	849	9
6	10153	7
7	153	2
8	1042	5
9	823	12
10	10818	22
11	10702	12
12	702	14
13	10557	14
14	557	20
15	10208	16
16	208	7
17	10208	16
18	217	16
19	10217	18
20	531	24
21	10252	19
22	10795	44
23	10252	19
24	340	18
25	10258	19
26	20258	25
27	10436	29
28	20319	29
29	10319	25
30	10560	27
31	20560	30
32	10668	30
33	20668	32
34	10807	32
35	20807	34
36	11000	34
37	20310	26
38	10319	23
39	20319	38
40	11078	36
41	11950	57
42	21950	41
43	12143	41
44	10762	11
45	11085	40
46	11982	59
47	12359	60
48	12332	54
49	12628	55
50	10994	58
51	10811	44
52	10370	38
53	20370	52
54	12155	62
55	12459	47
56	11894	65
57	11751	64
58	10869	22
59	11949	65
60	12342	54
61	11055	70
62	12115	68
63	12496	48
64	11557	66
65	11764	75
66	11487	86
67	11105	40
68	11987	78
69	10968	22
70	11003	58
71	10525	52
72	20525	71
73	11473	79
74	21473	73
75	11761	82
76	11042	69
77	10899	10
78	11890	82
79	11339	81
80	11653	86
81	11166	93
82	11753	87
83	11124	69
84	21124	83
85	21478	86
86	11478	89
87	11613	94
88	11105	76
89	11287	95
90	21287	89
91	21204	92
92	11204	96
93	11096	70
94	11569	97
95	11196	81
96	11131	88
97	11475	89
98	11207	92
99	11789	87
