100	339
Node	Dis	Prev
0	100000	-1
1	100000	-1
2	100000	-1
3	100000	-1
4	100000	-1
5	100000	-1
6	100000	-1
7	100000	-1
8	100000	-1
9	100000	-1
10	100000	-1
11	100000	-1
12	100000	-1
13	100000	-1
14	100000	-1
15	100000	-1
16	100000	-1
17	100000	-1
18	100000	-1
19	100000	-1
20	100000	-1
21	100000	-1
22	100000	-1
23	100000	-1
24	100000	-1
25	100000	-1
26	100000	-1
27	100000	-1
28	100000	-1
29	100000	-1
30	100000	-1
31	100000	-1
32	100000	-1
33	100000	-1
34	100000	-1
35	100000	-1
36	100000	-1
37	100000	-1
38	100000	-1
39	100000	-1
40	100000	-1
41	100000	-1
42	100000	-1
43	100000	-1
44	100000	-1
45	100000	-1
46	100000	-1
47	100000	-1
48	100000	-1
49	100000	-1
50	100000	-1
51	100000	-1
52	100000	-1
53	100000	-1
54	100000	-1
55	100000	-1
56	100000	-1
57	100000	-1
58	100000	-1
59	100000	-1
60	100000	-1
61	100000	-1
62	100000	-1
63	100000	-1
64	100000	-1
65	100000	-1
66	100000	-1
67	100000	-1
68	100000	-1
69	100000	-1
70	100000	-1
71	100000	-1
72	100000	-1
73	100000	-1
74	100000	-1
75	100000	-1
76	100000	-1
77	100000	-1
78	100000	-1
79	100000	-1
80	100000	-1
81	100000	-1
82	100000	-1
83	100000	-1
84	100000	-1
85	100000	-1
86	100000	-1
87	100000	-1
88	100000	-1
89	100000	-1
90	100000	-1
91	100000	-1
92	100000	-1
93	100000	-1
94	100000	-1
95	100000	-1
96	100000	-1
97	100000	-1
98	100000	-1
99	100000	-1
