1000	3540
2	1	100000
2	3	100000
2	4	2
2	7	122
3	2	100000
3	4	100000
3	309	89
4	273	192
4	2	2
4	274	189
4	3	100000
4	388	99
4	5	100000
5	4	100000
5	6	100000
5	8	104
5	9	145
6	305	106
6	309	36
6	5	100000
6	310	144
6	7	100000
7	16	30
7	2	122
7	6	100000
7	8	100000
8	5	104
8	7	100000
8	9	100000
9	5	145
9	8	100000
9	10	100000
9	12	80
10	22	27
10	9	100000
10	11	100000
10	77	190
11	10	100000
11	44	86
11	12	100000
12	9	80
12	11	100000
12	13	100000
12	14	29
14	20	84
14	12	29
14	13	100000
14	15	100000
15	16	100000
15	310	68
15	312	178
15	14	100000
16	17	100000
16	18	31
16	7	30
16	15	100000
18	16	31
18	17	100000
18	19	100000
18	24	88
18	266	77
19	18	100000
19	20	100000
19	21	96
19	23	198
19	25	111
20	19	100000
20	21	100000
20	24	36
20	312	180
20	14	84
21	19	96
21	20	100000
21	22	100000
22	69	159
22	21	100000
22	23	100000
22	10	27
22	58	199
22	44	196
23	19	198
23	38	71
23	22	100000
23	24	100000
24	18	88
24	20	36
24	23	100000
24	25	100000
24	303	187
25	19	111
25	24	100000
25	26	100000
25	29	10
26	37	144
26	312	174
26	25	100000
26	27	100000
27	26	100000
27	28	100000
27	29	61
27	30	31
29	25	10
29	314	51
29	27	61
29	28	100000
29	30	100000
30	32	8
30	27	31
30	29	100000
30	31	100000
32	33	100000
32	34	32
32	30	8
32	31	100000
34	32	32
34	33	100000
34	35	100000
34	36	40
36	34	40
36	35	100000
36	37	100000
36	40	7
36	313	59
37	36	100000
37	38	100000
37	313	195
37	26	144
38	52	186
38	37	100000
38	23	71
38	39	100000
39	38	100000
39	40	100000
39	317	135
39	303	136
40	67	169
40	36	7
40	39	100000
40	41	100000
40	45	31
41	40	100000
41	57	55
41	42	100000
41	43	56
42	279	55
42	41	100000
42	43	100000
43	41	56
43	42	100000
43	44	100000
44	51	33
44	22	196
44	11	86
44	43	100000
44	45	100000
45	275	165
45	279	134
45	40	31
45	44	100000
45	46	100000
46	56	121
46	59	111
46	45	100000
46	47	100000
47	48	100000
47	55	168
47	60	149
47	46	100000
48	49	100000
48	277	67
48	54	76
48	63	94
48	47	100000
49	48	100000
49	50	100000
49	55	129
50	49	100000
50	51	100000
50	58	111
50	61	111
51	50	100000
51	52	100000
51	44	33
52	51	100000
52	132	148
52	53	100000
52	38	186
52	71	130
53	52	100000
53	277	33
53	278	15
53	54	100000
53	279	26
54	48	76
54	53	100000
54	55	100000
54	60	27
54	62	49
55	49	129
55	54	100000
55	56	100000
55	47	168
56	65	166
56	55	100000
56	57	100000
56	46	121
57	64	167
57	56	100000
57	41	55
57	58	100000
57	75	22
58	50	111
58	22	199
58	70	170
58	57	100000
58	59	100000
59	65	60
59	68	199
59	58	100000
59	60	100000
59	46	111
60	54	27
60	59	100000
60	61	100000
60	47	149
61	81	189
61	50	111
61	70	155
61	60	100000
61	62	100000
62	68	166
62	54	49
62	61	100000
62	63	100000
63	48	94
63	64	100000
63	62	100000
64	80	195
64	65	100000
64	66	111
64	57	167
64	63	100000
65	64	100000
65	66	100000
65	56	166
65	59	60
65	75	59
65	78	165
66	64	111
66	65	100000
66	67	100000
66	86	62
66	73	80
67	66	100000
67	68	100000
67	40	169
68	67	100000
68	69	100000
68	59	199
